Failures,Closing_Date
1,Dec-17
1,Oct-17
2,May-17
1,Apr-17
1,Mar-17
2,Jan-17
1,Sep-16
1,Aug-16
1,May-16
1,Apr-16
1,Mar-16
2,Oct-15
1,Jul-15
1,May-15
2,Feb-15
2,Jan-15
1,Dec-14
1,Nov-14
2,Oct-14
2,Jul-14
3,Jun-14
3,May-14
1,Apr-14
2,Feb-14
3,Jan-14
1,Dec-13
1,Oct-13
2,Sep-13
4,Aug-13
2,Jun-13
4,May-13
6,Apr-13
1,Mar-13
1,Feb-13
2,Jan-13
1,Dec-12
3,Nov-12
4,Oct-12
3,Sep-12
1,Aug-12
8,Jul-12
7,Jun-12
2,May-12
6,Apr-12
5,Mar-12
4,Feb-12
7,Jan-12
2,Dec-11
5,Nov-11
11,Oct-11
6,Sep-11
7,Aug-11
13,Jul-11
4,Jun-11
5,May-11
13,Apr-11
3,Mar-11
12,Feb-11
11,Jan-11
8,Dec-10
10,Nov-10
12,Oct-10
9,Sep-10
10,Aug-10
22,Jul-10
8,Jun-10
14,May-10
23,Apr-10
19,Mar-10
7,Feb-10
15,Jan-10
16,Dec-09
9,Nov-09
20,Oct-09
11,Sep-09
15,Aug-09
24,Jul-09
9,Jun-09
7,May-09
8,Apr-09
5,Mar-09
10,Feb-09
6,Jan-09
3,Dec-08
5,Nov-08
4,Oct-08
3,Sep-08
3,Aug-08
3,Jul-08
2,May-08
1,Mar-08
1,Jan-08
1,Oct-07
1,Sep-07
1,Feb-07
1,Jun-04
2,Mar-04
1,Feb-04
1,Nov-03
1,May-03
1,Feb-03
1,Dec-02
1,Nov-02
1,Sep-02
2,Jun-02
2,Mar-02
2,Feb-02
2,Jan-02
1,Sep-01
1,Jul-01
1,May-01
1,Feb-01
1,Dec-00
1,Oct-00
